locus_id,sequence,known_substrate
alpha-glucan_075,"PfkB,GH36,GH13_31,LacI,GH32,GH13_18,3.A.1.1.45,3.A.1.1.45,null",alpha-glucan
xylan_076,"null,null,GH43_11,2.A.2,2.A.1,null,null",xylan
arabinogalactan_077,"null,null,null,null,null,3.A.1.1.34,3.A.1.1.34,3.A.1.1.34,GH51_1",arabinogalactan
alpha-mannan_078,"null,1.B.14.6.1,null,null,null,GH92,null,null,null,GH99",alpha-mannan
fructan_079,"LacI,3.A.1.1.10,3.A.1.1.29,null,GH32",fructan
beta-glucan_080,"null,1.B.14,null,GH30_3,null,GH3",beta-glucan
fructan_081,"SBP_bac_1,3.A.1.1.37,3.A.1.1.24,GH13_30,GH36",fructan
fructan_082,"GH32,PfkB,GH32",fructan
alpha-glucan_083,"CBM82|CBM83|GH13_41,null,HTH_1,Pyr_redox_2",alpha-glucan
pectin_084,"GH95,null,GH140,CBM67|GH78|GH33,null,null,GH28,CBM67|GH78,GH43_18,null,PL1_2,null,null,null,1.B.14,null,GH92",pectin
xylan_085,"HTH_AraC|HTH_AraC,SBP_bac_1,GH3,GH95,GH10|CE1",xylan
host_glycan_086,"null,GntR,SIS|SIS,CE9,GH35,4.A.6.1.18,4.A.6.1.18,4.A.6.1.18,4.A.6.1.18",host glycan
beta-glucan_087,"null,9.B.154.1.2,null,null,null,Peptidase_M23,null,null,GH73,null,null",beta-glucan
galactan_088,"GH2,2.A.21,null,null,3.D.1,null,GH96,GH96,null,null,2.A.1,GH50,GH50,null,null,GH29,null,SBP_bac_1,TrmB,null,null,null,null,null,null,null,null,null,null,null,null,1.B.14,null,GntR,GH50,1.B.14,null,null,null,GH86,null,3.A.1,3.A.1,3.A.1,3.A.1,null,PfkB,GH117|GH117",galactan
alginate_089,"GntR,PL7_5,PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1.14.25,null,PfkB,null,null,null,SBP_bac_3,PL6,PL6,null,CBM16|CBM32|PL18",alginate
alpha-glucan_090,"Pyr_redox_2,CBM48|GH13_9,null,null,GT5,GT35,GH13_39,null,null,null",alpha-glucan
arabinogalactan_091,"GH43_29,GH51_2,GH43_4,HTH_AraC|HTH_AraC,null,1.B.14.6.1,null,1.B.14.6.1,null,GH43_4",arabinogalactan
alginate_092,"PL17_2|PL17,PL6|PL6_1,null,8.A.46,1.B.14,null,GntR",alginate
beta-mannan_093,"CE17|CBM35,GH113,CE2,LacI,SBP_bac_1,3.A.1.1.46,3.A.1.1.34,GH130_2,null,GH130_1,9.B.28.1.2,null,null",beta-mannan
arabinogalactan_094,"GH43_24|GH16,GH16,null,null,1.B.14,null,1.B.14,null,HTH_AraC",arabinogalactan
beta-mannan_095,"GH1,8.A.49,null,null,CE2,GH130,GH130,null,3.A.1,3.A.1,SBP_bac_1,LacI,GH36,null,GH113",beta-mannan
pectin_096,"null,null,CE1,CE1,null,null,null,1.B.14.6.1",pectin
alpha-mannan_097,"null,1.B.14.6.1,null,null,null,GH92,null,null,null,9.B.14.1.10,null",alpha-mannan
host_glycan_098,"GH92,GH125,GH38,null,GH20",host glycan
fructan_099,"null,4.A.1,null,GH32,LacI",fructan
arabinogalactan_100,"GH146,1.B.14,null,null,GH43_29,GH121,1.B.14,null,null",arabinogalactan
